"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","HU","TKL ALL","Runs"
"","199964","","461041","","David Sanders Jr.","TENNESSEE","70","T","273","6","2","5","1","119"
"","199970","","453406","","Antoni Ogumoro","TENNESSEE","55","G","76","3","0","0","1","38"
"","200080","","450659","","LJ Prudhomme","ARKANSAS","56","G","11","1","0","0","1","5"
"","200099","","450606","","Kash Courtney","ARKANSAS","53","C","103","3","0","5","2","50"
"","200100","","450585","","Blake Cherry","ARKANSAS","70","G","25","3","0","0","0","12"
"","200111","","456259","","Matthew Parker","BAYLOR","71","T","18","2","0","0","0","11"
"","200114","","456233","","Harrison Cluff","BAYLOR","75","G","18","2","0","0","0","11"
"","200145","","455982","","Darrin Strey","KENTUCKY","69","T","18","3","0","0","0","11"
"","200151","","453535","","Seuseu Alofaituli","MIAMI FL","65","G","76","8","1","0","4","52"
"","200170","","453538","","Max Buchanan","MIAMI FL","66","G","55","5","0","0","0","33"
"","200269","","455861","","Grayson Reid","VIRGINIA","51","G","10","1","0","0","1","9"
"","200275","","455862","","Will Rosen","VIRGINIA","67","G","3","1","0","0","0","3"
"","200277","","455858","","Jim Harris Jr.","VIRGINIA","55","T","3","1","0","0","0","3"
"","200280","","455853","","Jon Adair","VIRGINIA","79","T","41","3","0","0","1","25"
"","200289","","449459","","Lamont Rogers","TEXAS A&M","79","T","20","3","0","0","0","13"
"","200305","","449596","","Amory Hills","MARYLAND","77","G","106","8","0","0","2","51"
"","200315","","448828","","Zak Yamauchi","STANFORD","68","G","136","3","3","3","1","60"
"","200324","","466525","","Josh Williams","STANFORD","62","G","257","4","2","4","4","106"
"","200326","","448825","","Emeka Ugorji","STANFORD","71","G","517","9","7","12","13","220"
"","200351","","469177","","Will Black","NOTRE DAME","65","T","11","1","0","0","1","8"
"","203967","","453471","","Kail Ellis","AUBURN","51","C","205","6","1","8","3","99"
"","203970","","453490","","Jacobe' Ward","AUBURN","74","G","8","1","0","0","0","5"
"","203993","","450526","","Siosiua Latu-Finau","BYU","59","T","39","2","0","0","0","32"
"","204010","","461009","","Cole Allen","DUKE","62","T","13","2","0","0","0","13"
"","204079","","449803","","Vaea Ikakoula","IOWA STATE","54","G","30","2","0","0","0","22"
"","204091","","449931","","Anderson Kopp","KANSAS","73","C","4","1","0","0","0","4"
