"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","TFL","TOT TKL","TPR","HU","BP"
"","183316","","429781","","Maurice Davis","LOUISVILLE","97","ED","8","2","0","0","3","1","1","0"
"","183323","","449472","","Daniel Anderson","N CAROLINA","95","ED","21","2","0","0","1","3","2","0"
"","183353","","450072","","Chase Bond","NC STATE","92","ED","143","9","1","4","9","2","1","0"
"","183371","","429237","","Caden Brown","SYRACUSE","33","ED","9","2","0","0","0","1","1","0"
"","183375","","429257","","Jahide Lesaine Jr.","SYRACUSE","28","ED","49","3","0","0","2","0","0","0"
"","183380","","429273","","Maraad Watson","TEXAS","98","DI","216","8","0","0","16","4","2","0"
"","183386","","429200","","Camden Hardy","WAKE","90","ED","16","2","0","0","0","1","1","0"
"","183498","","428269","","Joe Barna","ILLINOIS","43","ED","233","9","2","0","18","7","3","1"
"","183500","","447847","","Daniel Brown","ILLINOIS","04","ED","112","5","0","0","4","9","6","0"
"","183506","","449099","","Demetrius John","ILLINOIS","54","DI","20","6","0","0","0","1","1","0"
"","183507","","428270","","Angelo McCullom","ILLINOIS","44","DI","213","9","2","1","20","4","2","0"
"","183554","","429461","","Landen Davidson","NEBRASKA","69","DI","8","2","0","0","2","0","0","0"
"","183556","","453526","","Ethan Duda","NEBRASKA","55","ED","4","2","0","0","1","0","0","0"
"","183570","","429497","","Willis McGahee IV","NEBRASKA","17","ED","67","4","0","2","5","2","1","0"
"","183572","","453574","","Ashton Murphy","NEBRASKA","57","DI","18","3","1","0","3","1","0","0"
"","183574","","448235","","Jordan Ochoa","NEBRASKA","94","ED","23","3","1","0","1","1","0","0"
"","183595","","428405","","Liam Andrews","PENN STATE","90","DI","11","2","0","0","1","0","0","0"
"","183599","","447823","","De'Andre Cook","PENN STATE","94","DI","6","2","0","0","0","0","0","0"
"","183605","","436404","","Xavier Gilliam","PENN STATE","54","DI","291","9","0","1","9","12","11","0"
"","183607","","436406","","Jaylen Harvey","PENN STATE","44","ED","108","7","0","1","4","5","5","0"
"","183614","","431726","","Jide Abasiri","USC","97","DI","288","9","3","0","23","11","8","0"
"","183616","","455976","","Lorenzo Cowan","KENTUCKY","34","ED","72","6","0","2","5","3","3","0"
"","183618","","431731","","Kameryn Crawford","USC","01","ED","386","9","4","5","25","16","9","0"
"","183633","","429705","","Bryce Butler","WASHINGTON","92","DI","208","9","1","1","14","6","4","0"
"","183641","","453700","","Omar Khan","WASHINGTON","98","DI","4","1","0","0","1","0","0","0"
"","183663","","428642","","Dillan Johnson","WISCONSIN","76","DI","56","9","0","0","1","1","1","0"
"","183665","","448930","","Anelu Lafaele","MICH STATE","11","ED","68","5","2","0","8","6","2","0"
"","183678","","428535","","Mario Landino","INDIANA","97","DI","305","10","6","1","20","24","14","2"
"","183680","","431558","","Daniel Ndukwe","INDIANA","17","ED","36","4","0","0","3","1","1","0"
"","183687","","433940","","Dominic Nichols","MICHIGAN","33","ED","156","9","1","3","14","9","6","0"
"","183692","","447850","","Callen Campbell","NWESTERN","44","ED","81","8","0","0","3","6","4","0"
"","183696","","453369","","Troy Regovich","NWESTERN","99","DI","14","3","0","0","0","0","0","0"
"","183699","","428672","","Eddrick Houston","OHIO STATE","96","DI","169","8","1","0","9","4","2","0"
"","183703","","428678","","Eric Mensah","OHIO STATE","90","DI","12","1","0","0","2","1","1","0"
"","183720","","429034","","Demeco Kennedy","PURDUE","18","DI","388","10","4","3","19","16","11","0"
"","183752","","429597","","Albert Smith III","ARIZONA ST","03","ED","21","3","1","0","1","3","2","1"
"","183756","","449688","","Ramar Williams","ARIZONA ST","55","DI","104","8","0","0","4","4","3","1"
"","183777","","429923","","Orion Maile-Kaufusi","BYU","10","ED","44","6","0","0","1","0","0","0"
"","183779","","429939","","Viliami Po'uha","BYU","45","ED","271","9","1","1","16","14","10","0"
"","183781","","428898","","Danny Saili","ARKANSAS","88","DI","239","8","0","1","5","8","7","0"
"","183783","","429945","","John Taumoepeau","BYU","55","DI","364","9","0","0","32","11","11","0"
"","183804","","448783","","Dakyus Brinkley","KANSAS","09","ED","137","10","2","1","14","9","6","0"
"","183818","","449751","","Sterlin Brooks","TCU","98","DI","23","3","0","0","4","0","0","0"
"","183828","","428432","","Travis Jackson","TCU","12","ED","23","4","0","0","2","0","0","0"
"","183829","","449812","","Tristan Johnson","TCU","35","DI","227","9","2","0","14","8","4","0"
"","183874","","448519","","Jackson Biser","W VIRGINIA","59","ED","9","1","0","0","1","0","0","0"
"","183878","","431709","","Nate Gabriel","W VIRGINIA","93","DI","231","10","0","0","9","1","1","1"
"","183883","","439373","","Brandon Davis-Swain","COLORADO","91","DI","352","9","1","1","11","9","4","0"
"","183892","","429304","","Xavier Stillman","HOUSTON","93","DI","20","5","0","0","1","0","0","0"
"","183918","","451274","","Armstrong Nnodim","OKLA STATE","94","DI","157","9","1","1","9","5","3","0"
"","184100","","449207","","Cole Mullins","NOTRE DAME","42","DI","42","3","0","0","1","4","4","1"
"","184102","","446265","","Sean Sevillano Jr.","NOTRE DAME","59","DI","17","4","0","0","0","0","0","0"
"","184103","","428800","","Loghan Thomas","NOTRE DAME","10","ED","28","5","0","0","2","4","3","0"
"","184110","","428805","","Bryce Young","NOTRE DAME","95","ED","242","9","2","1","14","21","15","0"
"","184383","","428652","","Charlie Collins","ARKANSAS","09","ED","164","9","0","1","6","7","5","0"
"","184385","","428812","","Kavion Henderson","ARKANSAS","06","ED","21","2","0","0","2","0","0","0"
"","184395","","430345","","Malik Blocton","AUBURN","47","DI","343","10","0","3","9","11","10","0"
"","184404","","430430","","TJ Lindsey","PURDUE","13","DI","68","3","0","1","6","4","3","0"
"","184415","","430445","","Amaris Williams","AUBURN","10","ED","180","9","3","3","17","9","5","0"
"","184418","","428287","","Michai Boireau","FLORIDA","93","DI","222","7","2","0","19","5","3","0"
"","184427","","428379","","LJ McCray","FLORIDA","11","ED","4","1","0","0","0","0","0","0"
"","184430","","431506","","D'Antre Robinson","N CAROLINA","06","DI","280","9","2","2","24","12","9","0"
"","184433","","431509","","Brien Taylor Jr.","FLORIDA","33","DI","205","9","3","1","19","10","6","0"
"","184439","","458862","","Joey August","LSU","87","DI","5","1","0","0","0","0","0","0"
"","184441","","428551","","Ahmad Breaux","LSU","16","DI","228","9","0","2","10","7","6","0"
"","184445","","428555","","Kolaj Cobbins","LSU","48","ED","14","3","0","0","3","0","0","0"
"","184456","","448263","","CJ Jackson","LSU","14","ED","18","3","0","0","0","1","1","0"
"","184462","","436392","","Dominick McKinley","LSU","96","DI","250","9","1","0","8","8","5","1"
"","184463","","428563","","Gabriel Reliford","LSU","19","ED","85","4","0","1","10","4","2","0"
"","184492","","436666","","Wendell Gregory","OKLA STATE","04","ED","341","9","3","10","23","30","22","1"
"","184500","","429665","","Dylan Stewart","S CAROLINA","06","ED","368","9","4","6","27","31","23","0"
"","184510","","429088","","Alex January","TEXAS","97","DI","211","6","1","0","11","6","5","0"
"","184515","","429097","","Colin Simmons","TEXAS","01","ED","388","9","7","4","32","37","19","0"
"","184517","","449093","","Zina Umeozulu","TEXAS","19","ED","136","9","1","1","5","9","6","0"
"","184524","","431957","","Mason Carter","VANDERBILT","32","ED","45","5","0","0","3","3","2","0"
"","184527","","433963","","Jeremiah Beaman","ALABAMA","92","DI","21","1","0","0","0","1","1","0"
"","184533","","446254","","Isaia Faga","ALABAMA","88","DI","82","9","0","0","5","4","2","0"
"","184564","","428453","","Quintavius Johnson","GEORGIA","33","ED","345","9","0","4","29","6","3","1"
"","184565","","428456","","Joseph Jonah-Ajonye","GEORGIA","99","ED","198","9","0","0","10","5","5","0"
"","184567","","448987","","Kris Jones","GEORGIA","28","ED","99","9","0","1","5","4","4","0"
"","184569","","431690","","Nnamdi Ogboko","GEORGIA","95","DI","79","8","1","0","8","3","2","0"
"","184577","","428484","","Jordan Thomas","GEORGIA","97","DI","26","3","0","1","3","0","0","0"
"","184593","","428301","","Wyatt Gilmore","OKLAHOMA","42","ED","13","4","1","0","1","2","1","0"
"","184596","","428340","","Jayden Jackson","OKLAHOMA","65","DI","241","8","3","1","24","12","8","0"
"","184601","","428381","","Danny Okoye","OKLAHOMA","16","ED","67","7","2","0","7","4","1","0"
"","184604","","428430","","Nigel Smith II","OKLAHOMA","06","DI","13","3","0","0","1","2","2","0"
"","184605","","428439","","David Stone","OKLAHOMA","00","DI","307","9","2","7","28","21","16","0"
"","184641","","429580","","Jerod Smith II","KENTUCKY","95","ED","211","9","0","2","16","7","6","0"
"","184642","","429583","","Steven Soles Jr.","KENTUCKY","35","ED","110","8","6","0","12","14","6","1"
"","184739","","0","","Paris Evans","OLE MISS","57","ED","1","1","0","0","0","0","0","0"
"","184741","","429733","","Kam Franklin","OLE MISS","05","ED","455","10","5","3","48","28","21","1"
"","184747","","429758","","Jeffery Rush","OLE MISS","90","ED","11","2","0","0","0","1","1","0"
"","184762","","429337","","Ashun Shepphard","MISS STATE","98","DI","26","2","0","0","4","0","0","0"
"","184805","","431472","","Kendall Jackson","TEXAS A&M","42","ED","8","2","0","0","0","0","0","0"
"","184814","","431480","","Solomon Williams","TEXAS A&M","30","ED","25","3","0","1","2","1","1","0"
"","184841","","434119","","Aydin Breland","OREGON","42","DI","53","9","0","0","0","5","5","0"
"","184846","","434120","","Tionne Gray","OREGON","50","DI","159","9","0","0","9","0","0","0"
"","184851","","441727","","Jericho Johnson","OREGON","77","DI","16","3","0","0","1","1","1","0"
"","184863","","441724","","Elijah Rushing","OREGON","47","ED","66","5","0","0","3","1","1","0"
"","184865","","441721","","Xadavien Sims","OREGON","88","DI","8","1","0","0","0","0","0","0"
"","184886","","429227","","Kellen Lindstrom","TENNESSEE","56","ED","11","2","0","0","0","0","0","0"
"","184906","","450060","","Kasen Long","TEXAS TECH","92","DI","10","2","0","0","1","0","0","0"
"","184929","","449390","","Deric Dandy","VA TECH","32","ED","17","3","0","0","0","0","0","0"
"","184934","","448285","","Gerard Johnson","VA TECH","55","DI","6","1","0","0","1","0","0","0"
"","184935","","448286","","Emmett Laws","VA TECH","99","DI","111","9","2","0","9","6","4","0"
"","185907","","429225","","EJ Moore Jr.","MARYLAND","50","DI","115","8","0","0","4","1","1","0"
"","186443","","429518","","David Santiago","MICH STATE","41","ED","177","9","1","2","19","9","7","1"
"","188178","","449166","","Michael-Anthony Okwura","CAL","97","DI","19","5","0","0","0","0","0","0"
"","188185","","436998","","Lendric Barber","CINCINNATI","95","ED","7","1","0","0","0","1","1","0"
"","188195","","431422","","Marquaze Parker","CINCINNATI","98","ED","271","9","1","2","16","14","12","0"
"","188294","","429011","","Kash Dillon","UTAH","93","ED","180","9","3","1","18","7","4","0"
"","188304","","429038","","Dallas Vakalahi","UTAH","98","DI","87","5","1","1","6","3","2","0"
"","188312","","429534","","Kyran Duhon","OKLA STATE","33","ED","168","8","0","1","16","4","2","0"
"","188523","","428947","","Glenn Seabrooks III","VANDERBILT","53","DI","237","10","0","0","15","2","2","0"
"","188664","","455838","","William DePaepe","INDIANA","98","ED","8","1","1","0","2","2","1","0"
"","188678","","446942","","Malcolm Alcorn-Crowder","KANSAS ST","55","DI","210","8","1","1","15","12","11","0"
"","188679","","448797","","Holden Bass","KANSAS ST","75","DI","6","3","0","0","0","0","0","0"
"","188706","","453581","","Jaylin Hicks","MINNESOTA","55","DI","70","6","0","0","2","5","5","0"
"","188708","","453583","","Adam Kissayi","MINNESOTA","98","ED","30","6","0","1","3","1","1","0"
"","188716","","453591","","Riley Sunram","MINNESOTA","93","DI","38","6","0","0","1","0","0","0"
"","188737","","463563","","Luke Webb","OKLA STATE","98","DI","62","4","0","0","3","1","1","0"
"","188774","","428357","","Bergin Kysar","OKLAHOMA","80","ED","1","1","0","0","0","0","0","0"
"","188852","","445997","","Joe Asiain","STANFORD","55","DI","30","5","0","0","3","0","0","1"
"","188853","","448817","","Connor Bachhuber","STANFORD","96","DI","14","3","0","0","1","0","0","0"
"","188870","","445998","","Jacobi Murray","STANFORD","42","DI","56","7","0","0","4","0","0","0"
"","188879","","0","","Mike Bethea II","TENNESSEE","89","ED","3","1","0","0","0","0","0","0"
"","188882","","429205","","Carson Gentle","TENNESSEE","35","ED","33","3","0","1","3","0","0","0"
"","188883","","453381","","Herb Gray","TENNESSEE","58","ED","3","1","0","1","1","0","0","0"
"","188886","","429218","","Isaiah Inge","TENNESSEE","96","DI","3","1","0","0","0","0","0","0"
"","188890","","429238","","Jordan Ross","TENNESSEE","29","ED","206","9","2","2","19","11","6","1"
"","188893","","429256","","Jamal Wallace","TENNESSEE","30","DI","71","5","0","0","4","2","1","0"
"","189362","","431620","","Hevin Brown-Shuler","CLEMSON","42","DI","6","1","0","0","0","0","0","0"
"","189368","","431631","","Darien Mayo","CLEMSON","49","ED","26","4","0","0","0","0","0","0"
"","189377","","449304","","Jaylen Carl","DUKE","98","ED","1","1","0","0","0","0","0","0"
"","189390","","431417","","Tyshon Reed","DUKE","10","ED","115","9","0","1","6","5","4","0"
"","189395","","436444","","Kobe Smith","DUKE","18","ED","70","9","0","0","5","6","5","0"
"","189399","","431420","","Preston Watson","DUKE","95","DI","205","9","0","1","11","2","1","1"
"","189411","","429642","","Amontrae Bradford","GA TECH","98","ED","183","9","3","3","17","14","9","0"
"","189421","","453328","","Landen Marshall","GA TECH","97","DI","65","4","0","0","2","1","1","0"
"","189431","","431838","","Armondo Blount","MIAMI FL","18","DI","223","8","4","0","14","18","11","1"
"","189440","","431850","","Artavius Jones","MIAMI FL","42","DI","1","1","0","0","0","0","0","0"
"","189445","","431864","","Booker Pickett","MIAMI FL","33","ED","39","6","2","0","5","5","2","0"
"","189450","","453548","","Daylen Russell","MIAMI FL","90","DI","22","4","0","1","5","0","0","0"
"","189451","","428471","","Justin Scott","MIAMI FL","05","DI","213","9","0","2","11","4","4","1"
"","189542","","428558","","Jahsear Whittington","PITTSBURGH","04","DI","120","7","1","0","6","11","7","0"
"","189543","","449588","","Ty Yuhas","PITTSBURGH","93","DI","12","2","0","0","0","0","0","0"
"","189625","","445722","","Eduwa Okundaye","ARIZONA","94","ED","20","4","0","0","1","1","1","0"
"","189643","","450502","","Kinilau Fonohema","BYU","97","ED","21","3","0","0","3","0","0","0"
"","189656","","450580","","Sani Tuala","BYU","98","DI","3","1","0","0","0","0","0","0"
"","189673","","456081","","Joseph Anderson","IOWA","84","ED","28","3","0","0","2","0","0","0"
"","189677","","456091","","Drew Campbell","IOWA","13","ED","5","1","0","0","0","0","0","0"
"","189678","","456094","","Chima Chineke","IOWA","40","ED","5","1","0","0","0","0","0","0"
"","189685","","467615","","Devan Kennedy","IOWA","99","DI","9","1","0","0","1","0","0","0"
"","189699","","429463","","Keona Davis","NEBRASKA","97","DI","299","10","2","2","29","8","6","1"
"","189701","","429486","","David Hoffken","NEBRASKA","53","ED","25","4","0","0","2","0","0","0"
"","189719","","429466","","Billy Koudelka","VIRGINIA","93","ED","90","8","1","0","8","6","3","0"
"","189727","","453691","","Annas Davis","WASHINGTON","56","DI","3","1","0","0","0","0","0","0"
"","189918","","431704","","Makai Byerson","BOSTON COL","91","ED","60","7","0","0","5","3","2","0"
"","189930","","451369","","Quintin Goins","W VIRGINIA","95","DI","3","1","0","0","1","0","0","0"
"","189935","","434134","","Curtis Jones Jr.","W VIRGINIA","18","ED","253","10","1","2","19","10","6","1"
