"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","REC","EXPL","YAC","CTC"
"","200272","","450222","","Josiah Abdullah","VIRGINIA","13","WR","37","4","2","0","17","0"
"","200282","","450315","","Isaiah Robinson","VIRGINIA","84","WR","36","4","2","1","10","0"
"","200284","","450294","","Dillon Newton-Short","VIRGINIA","15","WR","75","7","3","1","2","1"
"","200308","","449633","","Jordan Scott","MARYLAND","14","WR","39","5","1","0","4","0"
"","200319","","448818","","JonAnthony Hall","STANFORD","81","WR","10","1","0","0","0","0"
"","200323","","453253","","Liam Thorpe","STANFORD","13","WR","18","5","0","0","0","0"
"","200355","","387975","","Terrill Davis","OKLA STATE","02","WR","418","9","18","6","82","4"
"","200360","","431315","","Tre Richardson","VANDERBILT","06","WR","331","9","26","8","160","2"
"","203968","","453480","","Duke Smith","AUBURN","10","WR","1","1","0","0","0","0"
"","203991","","450572","","Trey Roberts","BYU","22","WR","25","1","0","0","0","0"
"","203997","","467597","","Reggie Frischknecht","BYU","18","WR","4","1","0","0","0","0"
"","203999","","449473","","Jaivon Solomon","DUKE","17","WR","10","2","0","0","0","0"
"","204003","","461012","","Qeanu Johnson","DUKE","21","WR","1","1","0","0","0","0"
"","204008","","449463","","Kavon Simmons","DUKE","19","WR","2","1","0","0","0","0"
"","204066","","456099","","Jackson Naeve","IOWA","83","WR","3","1","0","0","0","0"
"","204074","","455995","","Zay Robinson","IOWA STATE","13","WR","4","1","0","0","0","0"
"","204094","","455796","","Linkon Cure","KANSAS ST","00","WR","80","6","3","0","7","1"
"","204142","","456030","","Jacob Washington","MICHIGAN","84","WR","3","1","0","0","0","0"
"","204189","","468372","","Matrail Lopez","OKLA STATE","84","WR","1","1","0","0","0","0"
"","204197","","409934","","Cam Abshire","OKLA STATE","14","WR","205","9","7","1","11","3"
"","204295","","455816","","Daunte Bacheyie","SYRACUSE","19","WR","11","3","2","0","5","1"
"","204302","","455834","","Terrell Wilfong","SYRACUSE","86","WR","5","1","0","0","0","0"
"","204310","","455835","","Darien Williams","SYRACUSE","07","WR","67","4","2","2","38","0"
"","204316","","451035","","Gabe Daniels","SYRACUSE","17","WR","57","5","2","1","0","1"
"","204356","","450019","","Tristian Gentry","TEXAS TECH","21","WR","3","1","1","0","2","0"
"","204357","","450053","","Bryson Jones","TEXAS TECH","85","WR","25","3","3","1","24","0"
"","204415","","449357","","JJ Buchanan","UTAH","81","WR","315","9","15","3","39","6"
"","204484","","449490","","Muizz Tounkara","FLORIDA","14","WR","39","3","2","0","10","0"
"","204535","","465122","","Jace Brown","UCLA","89","WR","3","1","0","0","0","0"
"","204870","","448920","","Thomas Blackshear","GEORGIA","88","WR","8","1","1","0","0","1"
"","204983","","463551","","Cameron Miller","KENTUCKY","22","WR","80","4","8","2","30","2"
"","205066","","450646","","Caleb Cunningham","OLE MISS","03","WR","9","2","0","0","0","0"
"","205076","","450628","","Dillon Alfred","OLE MISS","84","WR","11","2","0","0","0","0"
"","205098","","455953","","Bull Mitchell","MISS STATE","81","WR","3","1","1","1","6","0"
"","205246","","467628","","Madrid Tucker","N CAROLINA","86","WR","81","2","8","0","2","1"
"","205247","","456250","","Shanard Clower","N CAROLINA","85","WR","50","6","11","2","75","0"
"","205342","","449396","","Jalil Hall","PURDUE","09","WR","5","1","1","0","1","0"
"","205382","","449305","","Donovan Murph","S CAROLINA","06","WR","246","9","10","5","25","0"
"","205448","","449494","","Romero Ison","USC","84","WR","1","1","0","0","0","0"
"","205454","","449491","","Tanook Hines","USC","16","WR","291","8","18","5","83","1"
"","205487","","449658","","Kayleb Barnett","VANDERBILT","81","WR","43","9","5","0","64","0"
"","205507","","458929","","Shamarius Peterkin","VA TECH","15","WR","53","4","0","0","0","0"
"","207820","","449359","","Dawson Pough","BOSTON COL","88","WR","251","8","10","5","59","1"
"","207827","","463601","","Semaj Fleming","BOSTON COL","16","WR","15","2","0","0","0","0"
"","208848","","453380","","Joakim Dodson","TENNESSEE","89","WR","45","3","2","1","3","0"
"","208851","","0","","Kai Powell","TEXAS TECH","80","WR","4","2","0","0","0","0"
"","208872","","461007","","Armoni Weaver","W VIRGINIA","25","WR","10","2","0","0","0","0"
"","210406","","449243","","Scotty Brennan","ARIZONA","81","WR","11","2","0","0","0","0"
