"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","ATT","YCO","RB YCO/ATT","10+ RUSH","MTF RUN"
"","156396","","386300","","Jaylin Lucas","FLORIDA ST","12","HB","58","8","19","41","2.2","4","3"
"","156421","","393489","","Jaziun Patterson","IOWA","04","HB","78","5","40","181","4.5","5","4"
"","156473","","399003","","Emmett Johnson","NEBRASKA","21","HB","471","9","176","535","3.0","28","53"
"","156624","","386490","","Dean Connors","HOUSTON","44","HB","427","9","150","439","2.9","16","24"
"","156791","","386564","","A.J. Turner","MINNESOTA","02","HB","22","3","16","53","3.3","1","5"
"","156926","","385668","","Star Thomas","TENNESSEE","09","HB","197","9","80","270","3.4","14","21"
"","156935","","399703","","Makhilyn Young","VANDERBILT","22","HB","157","9","36","174","4.8","7","4"
"","156963","","399714","","Gi'Bran Payne","NOTRE DAME","03","HB","5","2","3","20","6.7","1","0"
"","156985","","406075","","Jadarian Price","NOTRE DAME","24","HB","169","8","85","325","3.8","19","21"
"","157003","","386946","","Jam Miller","ALABAMA","26","HB","213","5","81","188","2.3","7","7"
"","157037","","386835","","Damari Alston","AUBURN","00","HB","125","4","33","99","3.0","4","9"
"","157121","","412781","","Malachi Lane","LSU","30","HB","1","1","0","0","0","0","0"
"","157156","","428286","","Anthony Favrow","MISSOURI","31","HB","1","1","1","2","2.0","0","0"
"","157157","","393369","","Tavorus Jones","MISSOURI","22","HB","14","2","6","17","2.8","1","0"
"","157372","","386061","","CJ Donaldson","OHIO STATE","12","HB","179","8","68","157","2.3","6","2"
"","157522","","399550","","Tate Carney","WAKE","30","FB","4","1","1","9","9.0","0","1"
"","157523","","386131","","Demond Claiborne","WAKE","01","HB","309","8","109","380","3.5","16","25"
"","157656","","386450","","Bryce Duke","UTAH","25","HB","42","6","16","43","2.7","3","2"
"","157762","","391406","","Anthony Frias II","UCLA","22","HB","90","7","17","63","3.7","4","3"
"","158085","","386671","","Jovantae Barnes","OKLAHOMA","02","HB","78","4","19","45","2.4","1","4"
"","158088","","395314","","Gavin Sawchuk","FLORIDA ST","27","HB","307","8","93","249","2.7","9","18"
"","158097","","386751","","Tawee Walker","CINCINNATI","03","HB","254","9","98","352","3.6","19","26"
"","158212","","394227","","Aidan Laughery","ILLINOIS","21","HB","125","6","48","163","3.4","6","11"
"","158325","","387671","","Jaydn Ott","OKLAHOMA","00","HB","66","6","21","38","1.8","2","4"
"","158379","","425462","","Jay Coyne","MICH STATE","44","FB","47","9","0","0","0","0","0"
"","158417","","407695","","Makhi Hughes","OREGON","20","HB","42","4","17","51","3.0","1","4"
"","158449","","385969","","Jordan McDonald","BOSTON COL","05","HB","202","9","72","189","2.6","7","15"
"","158458","","386553","","Raleek Brown","ARIZONA ST","03","HB","493","9","140","411","2.9","24","43"
"","158664","","395331","","Le'Veon Moss","TEXAS A&M","08","HB","156","6","72","262","3.6","13","11"
"","158712","","406628","","Cade Yacamelli","WISCONSIN","25","HB","121","8","38","78","2.0","1","5"
"","158717","","386347","","Jonah Coleman","WASHINGTON","01","HB","371","8","129","455","3.5","16","29"
"","158816","","393548","","Tye Edwards","W VIRGINIA","02","HB","67","4","29","96","3.3","5","7"
"","158969","","387176","","Anthony Woods","UCLA","06","HB","173","7","44","179","4.1","6","9"
"","158999","","408556","","Vincent Genatone","NEBRASKA","30","HB","2","2","1","2","2.0","0","0"
"","159061","","395629","","Quincy Craig","ARIZONA","24","HB","170","8","39","95","2.4","6","4"
"","159936","","387679","","Desmond Reid","PITTSBURGH","00","HB","192","6","59","169","2.9","8","12"
"","160350","","392593","","NaQuari Rogers","UTAH","21","HB","266","9","90","194","2.2","6","10"
"","161419","","386927","","Ismail Mahdi","ARIZONA","21","HB","243","8","82","244","3.0","18","12"
"","162457","","389059","","TJ Harden","SMU","27","HB","331","9","119","305","2.6","8","24"
"","162692","","395004","","Travis Bates","DUKE","13","HB","14","2","9","27","3.0","1","2"
"","162799","","407213","","Eli Mason","MARYLAND","27","FB","10","3","1","0","0","0","0"
"","162843","","391126","","Joseph Himon II","NWESTERN","06","HB","213","8","83","331","4.0","11","17"
"","162865","","391417","","Dallan Hayden","COLORADO","07","HB","129","7","36","130","3.6","5","6"
"","162899","","386403","","Samuel Brown V","RUTGERS","27","HB","19","2","7","13","1.9","0","1"
"","163009","","385999","","Lee Beebe Jr.","INDIANA","29","HB","43","3","27","97","3.6","9","9"
"","163255","","395021","","Preston Rex","BYU","12","HB","66","4","9","22","2.4","0","0"
"","163712","","385493","","Chase Gillespie","VANDERBILT","13","FB","3","1","1","2","2.0","0","0"
"","163723","","431968","","Dominic Rezac","VANDERBILT","43","HB","6","1","0","0","0","0","0"
"","164158","","386127","","Kaytron Allen","PENN STATE","13","HB","275","8","120","460","3.8","17","35"
"","164188","","386149","","Nicholas Singleton","PENN STATE","10","HB","253","8","82","187","2.3","6","12"
"","167089","","387306","","Chance Williams","CINCINNATI","07","HB","38","5","15","37","2.5","1","4"
"","168419","","390019","","DeKalon Taylor","COLORADO","20","HB","91","4","19","48","2.5","2","2"
"","170051","","407414","","Peyton Jones","DUKE","05","HB","34","3","10","22","2.2","0","2"
"","170126","","428560","","Caleb Williams","PITTSBURGH","30","HB","17","3","5","8","1.6","0","1"
"","170168","","415833","","Kamari Moulton","IOWA","28","HB","180","6","84","269","3.2","13","10"
"","170178","","415841","","Terrell Washington Jr.","IOWA","08","HB","78","5","25","50","2.0","1","2"
"","170203","","407236","","Nolan Ray","MARYLAND","02","HB","173","8","54","159","2.9","4","10"
"","170205","","407237","","DJ Samuels","MARYLAND","20","FB","24","4","0","0","0","0","0"
"","170228","","425425","","Kwinten Ives","NEBRASKA","28","HB","32","5","17","40","2.4","5","2"
"","170302","","428533","","Cam Wallace","PENN STATE","26","HB","15","2","6","15","2.5","0","0"
"","170306","","406835","","Ja'shon Benjamin","RUTGERS","20","HB","151","9","58","170","2.9","8","9"
"","170356","","426428","","Samuel Singleton Jr.","FLORIDA ST","28","HB","43","5","29","124","4.3","7","7"
"","170378","","412329","","Kendrick Raphael","CAL","01","HB","432","9","155","479","3.1","17","35"
"","171024","","412183","","Kanye Udoh","ARIZONA ST","06","HB","99","8","45","106","2.4","5","9"
"","171090","","406074","","Jeremiyah Love","NOTRE DAME","04","HB","336","8","143","522","3.6","26","35"
"","171893","","406848","","Dylan Edwards","KANSAS ST","03","HB","91","3","36","159","4.4","8","9"
"","172220","","407858","","Durell Robinson","AUBURN","21","HB","9","2","3","56","18.7","1","0"
"","172379","","406426","","Justice Haynes","MICHIGAN","22","HB","286","7","124","460","3.7","18","24"
"","172412","","428856","","Maddox Lassiter","ARKANSAS","47","FB","50","9","1","1","1.0","0","0"
