"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","MT","PBU","INT","CTGT"
"","172450","","406258","","Colton Hood","TENNESSEE","08","CB","590","9","43","5","3","2","44"
"","172455","","406274","","Kayin Lee","AUBURN","04","CB","413","9","14","4","5","1","28"
"","172463","","415559","","Sylvester Smith","AUBURN","19","CB","199","9","24","3","1","0","20"
"","172480","","407526","","Jeremiah Hughes","MICH STATE","03","CB","29","3","4","2","0","0","6"
"","172496","","407543","","Ashton Stamps","LSU","01","CB","18","1","1","0","0","0","1"
"","172547","","423287","","Will James","HOUSTON","15","CB","346","9","21","2","4","1","21"
"","172553","","407838","","Brice Pollock","TEXAS TECH","14","CB","500","9","35","4","3","4","57"
"","172600","","407331","","Jayvon Thomas","TEXAS A&M","14","CB","43","3","2","0","0","0","5"
"","172615","","406005","","Martel Hight","VANDERBILT","04","CB","250","9","30","4","0","1","25"
"","172625","","406013","","Jailen Ruth","VANDERBILT","14","CB","38","6","2","0","0","0","4"
"","172659","","424640","","Jaylen Moson","UTAH","12","CB","3","1","0","0","0","0","0"
"","173006","","408709","","Scooter Jackson","UCLA","28","CB","308","8","26","5","4","2","20"
"","173046","","424604","","Mikal Harrison-Pilot","TEXAS TECH","30","CB","1","1","0","0","0","0","0"
"","173071","","416028","","Jameel Croft Jr.","KANSAS","29","CB","2","1","1","0","0","0","0"
"","173107","","407410","","Justice Clemons","KANSAS ST","05","CB","141","7","5","3","0","0","11"
"","173110","","407418","","Will Lee III","TEXAS A&M","04","CB","478","8","37","6","5","0","47"
"","173112","","428656","","Donovan McIntosh","KANSAS ST","09","CB","393","8","25","2","2","0","31"
"","173136","","407002","","Randon Fontenette","VANDERBILT","02","CB","512","9","38","6","1","0","35"
"","173137","","407005","","Vernon Glover","TCU","26","CB","402","8","27","6","5","1","35"
"","173165","","406903","","Malik Muhammad","TEXAS","05","CB","425","8","24","3","2","2","26"
"","173211","","419490","","Brian Nelson II","NC STATE","07","CB","378","9","19","6","4","0","31"
"","173400","","426799","","Za'Quan Bryan","MINNESOTA","04","CB","370","8","29","3","2","0","32"
"","173534","","407364","","A.J. Harris","PENN STATE","04","CB","359","8","23","1","0","0","16"
"","173634","","421219","","John Curry","TEXAS TECH","06","CB","465","9","47","2","1","0","33"
"","173644","","433989","","Marcus Ramon-Edwards","TEXAS TECH","22","CB","3","1","0","0","0","0","0"
"","173650","","429890","","Macho Stevenson","TEXAS TECH","12","CB","3","1","1","0","0","0","1"
"","173703","","407078","","Jacobe Johnson","OKLAHOMA","19","CB","113","7","5","4","0","1","7"
"","173721","","412545","","Makari Vickers","COLORADO","10","CB","184","6","11","2","1","0","15"
"","173761","","388386","","Jevon McIver Jr.","TCU","20","CB","226","8","14","3","3","0","19"
"","174003","","425430","","Carter Davis","BOSTON COL","07","CB","492","9","51","4","2","0","23"
"","174031","","421216","","Kaleb Patterson","ILLINOIS","01","CB","197","9","16","3","2","0","25"
"","174034","","408041","","Zachary Tobe","GA TECH","23","CB","304","9","22","2","3","0","27"
"","174037","","412291","","Cam Calhoun","ALABAMA","09","CB","25","3","4","1","1","0","2"
"","174040","","406278","","Jyaire Hill","MICHIGAN","20","CB","488","9","28","6","6","0","39"
"","174052","","406884","","Chance Rucker","MICH STATE","25","CB","77","7","8","0","2","0","12"
"","174161","","406653","","Stephen Hall","MISSOURI","00","CB","297","8","16","1","2","0","25"
"","174247","","406386","","Ja'Keem Jackson","LSU","08","CB","39","5","2","1","0","0","1"
"","174251","","406394","","Dijon Johnson","FLORIDA","27","CB","145","4","10","0","1","1","10"
"","174296","","431387","","Cooper Lai","OKLA STATE","29","CB","1","1","0","0","0","0","0"
"","174314","","406325","","Lardarius Webb Jr.","WAKE","20","CB","342","8","26","3","5","0","29"
"","174319","","407577","","Judge Collier","S CAROLINA","08","CB","203","6","19","3","0","0","19"
"","174323","","407601","","Jalon Kilgore","S CAROLINA","24","CB","485","8","43","7","4","1","37"
"","174351","","406294","","Braeden Marshall","UCF","04","CB","363","8","23","5","1","2","20"
"","174630","","407163","","Caden Jenkins","BAYLOR","08","CB","155","7","13","0","2","0","10"
"","174646","","423317","","LeVar Thornton Jr.","BAYLOR","25","CB","362","8","28","2","7","1","34"
"","174680","","425511","","Beni Ngoyi","IOWA STATE","05","CB","10","3","0","0","0","0","0"
