"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","CTGT"
"","62235","","387547","","Shaun Myers","COLORADO","40","LB","199","10","21","4","2","6"
"","70946","","386522","","Tate Romney","ARIZONA ST","24","LB","88","8","11","0","3","7"
"","73609","","358271","","Trent Whalen","ARKANSAS","26","LB","32","6","7","0","0","6"
"","74119","","406638","","Taariq Al-Uqdah","WASHINGTON","03","LB","152","3","15","1","1","9"
"","74152","","400296","","Ryan Quintanar","USC","51","LB","5","1","0","0","1","0"
"","81437","","351682","","Moroni Anae","UTAH","24","LB","31","6","4","0","1","0"
"","86267","","386091","","Kalib Perry","LOUISVILLE","12","LB","292","10","37","2","6","19"
"","97751","","326432","","Mohamed Toure","MIAMI FL","01","LB","404","10","56","0","9","38"
"","100457","","341039","","Levani Damuni","UTAH","03","LB","222","10","24","3","1","6"
"","101373","","336472","","Javin Wright","NEBRASKA","00","LB","443","9","69","6","6","30"
"","101480","","350353","","Joey Velazquez","OHIO STATE","39","LB","3","1","0","0","0","0"
"","101506","","340219","","Derik LeCaptain","MINNESOTA","35","LB","2","1","0","0","0","0"
"","122396","","348418","","Stephen Dix Jr.","ARKANSAS","14","LB","509","10","62","3","5","20"
"","122461","","348466","","Marques Watson-Trent","NEBRASKA","33","LB","224","9","30","0","5","8"
"","122610","","388803","","Beau Palmer","KANSAS ST","57","LB","2","1","0","0","0","0"
"","122740","","347950","","Tahj Chambers","OLE MISS","26","LB","240","10","23","1","5","11"
"","122986","","348620","","Jeff Roberson","MINNESOTA","20","LB","39","5","6","0","3","1"
"","123012","","348069","","Bangally Kamara","KANSAS","01","LB","413","9","44","6","20","17"
"","123054","","372992","","Anwar Sparrow","SYRACUSE","12","LB","240","9","27","2","6","10"
"","123055","","348364","","Stefon Thompson","FLORIDA ST","07","LB","138","8","22","0","2","4"
"","123146","","362605","","Trent Low","TEXAS TECH","34","LB","6","1","1","0","0","1"
"","123156","","348299","","Bryce Ramirez","TEXAS TECH","03","LB","130","9","17","0","3","8"
"","123224","","349121","","Jesus Machado","HOUSTON","02","LB","15","2","2","0","0","1"
"","123556","","381406","","Ben Blevins","CINCINNATI","45","LB","13","1","3","0","1","0"
"","124277","","386910","","Martavius French","COLORADO","37","LB","315","9","28","2","9","15"
"","126465","","385641","","Langston Patterson","VANDERBILT","10","LB","330","10","60","2","11","21"
"","126548","","406713","","Michael Teason","TCU","27","LB","35","3","6","1","0","1"
"","128170","","351175","","Chase Wilson","W VIRGINIA","30","LB","482","10","49","3","9","32"
"","129186","","406933","","Arion Carter","TENNESSEE","07","LB","389","8","62","2","7","26"
"","129582","","350313","","Nikhai Hill-Green","ALABAMA","41","LB","300","10","38","3","8","16"
"","129635","","350772","","Darius Snow","MICH STATE","23","LB","204","10","25","1","3","7"
"","129739","","378648","","Nigel Williams","LOUISVILLE","33","LB","23","3","2","0","0","1"
"","130573","","351168","","Daveren Rayner","KENTUCKY","07","LB","408","10","57","3","6","15"
"","131789","","351045","","Choe Bryant-Strother","BYU","33","LB","17","1","2","0","0","1"
"","131815","","351063","","JonJon Vaughns","UCLA","06","LB","506","10","99","4","8","25"
"","131853","","351704","","Sione Fotu","HOUSTON","12","LB","420","10","49","0","5","11"
"","131919","","406945","","Anthony Ward","WASHINGTON","57","LB","16","4","1","0","0","1"
"","143832","","368454","","Owen McGowan","BOSTON COL","33","LB","659","11","59","4","11","30"
"","143838","","362293","","Bryce Steele","BOSTON COL","08","LB","151","8","15","0","5","6"
"","143853","","362131","","Tre Freeman","DUKE","12","LB","442","10","51","4","8","22"
"","143867","","386176","","Nick Morris Jr.","DUKE","36","LB","150","4","19","4","5","5"
"","143952","","368271","","Chase Smith","MIAMI FL","41","LB","166","10","21","0","6","11"
"","143986","","368558","","Sean Brown","NC STATE","00","LB","298","5","41","4","6","26"
"","143992","","373110","","Caden Fordham","NC STATE","01","LB","626","10","100","3","13","44"
"","144027","","386027","","Nick Lapi","PITTSBURGH","31","LB","97","6","14","2","1","2"
"","144059","","384848","","Derek McDonald","SYRACUSE","15","LB","90","3","7","0","0","6"
"","144083","","395571","","Will Johnson","VA TECH","53","LB","4","1","0","0","0","0"
"","144086","","380884","","Jaden Keller","VA TECH","24","LB","325","9","42","2","10","24"
"","144087","","362359","","Keli Lawson","UCF","00","LB","308","10","24","0","4","22"
"","144092","","368289","","Jayden McDonald","UCF","38","LB","135","9","13","0","2","5"
"","144145","","359618","","Jaylin Alderman","MIAMI FL","21","LB","40","5","7","0","1","6"
"","144173","","384791","","TJ Quinn","LOUISVILLE","34","LB","581","10","74","5","13","36"
"","144181","","362233","","Quincy Bryant","WAKE","09","LB","285","10","43","3","8","12"
"","144192","","366082","","Dylan Hazen","WAKE","24","LB","388","10","57","8","12","21"
"","144217","","386681","","Jack Dingle","CINCINNATI","49","LB","377","9","41","0","4","4"
"","144248","","360052","","Jalen Garner","HOUSTON","36","LB","517","10","66","1","12","29"
"","144268","","368528","","Andrew Jones","OLE MISS","44","LB","147","7","24","2","1","6"
"","144431","","368353","","Corey Platt Jr.","HOUSTON","09","LB","265","9","34","2","5","12"
"","144572","","362220","","Jayson Gilliom","KANSAS","10","LB","49","6","11","0","1","1"
"","144579","","428844","","Cole Mondi","KANSAS","39","LB","3","1","2","0","0","0"
"","144611","","388807","","Desmond Purnell","KANSAS ST","32","LB","600","10","59","4","11","35"
"","144612","","385300","","Krew Jackson","ARIZONA ST","43","LB","10","3","3","0","0","0"
"","144699","","362498","","Landyn Watson","KENTUCKY","09","LB","197","10","16","1","7","13"
"","144707","","385953","","Luke Lingard","TCU","51","LB","1","1","0","0","0","0"
"","144737","","423528","","Marshall Landwehr","TEXAS","51","LB","9","2","1","0","0","0"
"","144766","","376720","","Gage Elder","TEXAS TECH","35","LB","9","1","1","0","0","0"
"","144816","","382582","","Dylan Rosiek","ILLINOIS","28","LB","328","8","48","2","4","20"
"","144818","","377096","","Kenenna Odeluga","ILLINOIS","39","LB","120","10","13","1","2","9"
"","144819","","359519","","Luke Zardzin","ILLINOIS","42","LB","30","3","7","0","0","1"
"","144864","","386327","","Jaxon Rexroth","IOWA","12","LB","180","10","19","2","1","11"
"","144871","","406794","","Jaden Harrell","IOWA","41","LB","256","7","35","1","9","13"
"","144872","","415840","","Zach Twedt","IOWA","42","LB","4","1","1","0","0","0"
"","144873","","378657","","Karson Sharar","IOWA","43","LB","557","10","71","6","14","33"
"","144984","","385308","","Devon Williams","MINNESOTA","09","LB","542","10","72","3","12","28"
"","145013","","361603","","Mikai Gbayor","N CAROLINA","04","LB","205","10","27","1","4","6"
"","145023","","412024","","Michael Booker III","NEBRASKA","43","LB","25","2","3","0","1","0"
"","145047","","384498","","Mac Uihlein","NWESTERN","37","LB","583","10","79","6","19","27"
"","145069","","359681","","Reid Carrico","W VIRGINIA","35","LB","456","11","61","3","11","19"
"","145095","","366892","","Dominic DeLuca","PENN STATE","00","LB","407","10","58","4","8","18"
"","145120","","374246","","Yannis Karlaftis","NWESTERN","14","LB","68","5","10","0","2","4"
"","145145","","380447","","Austin Dean","RUTGERS","47","LB","15","3","1","0","1","1"
"","145181","","386810","","Garrison Solliday","WISCONSIN","45","LB","4","1","1","0","0","0"
"","145382","","377173","","Wayne Matthews III","MICH STATE","10","LB","561","10","66","3","6","30"
"","145628","","386059","","Vaughn Pemberton","BOSTON COL","23","LB","1","1","0","0","0","0"
"","145978","","387250","","Andrew Simpson","N CAROLINA","02","LB","590","10","61","4","11","23"
"","146040","","359547","","Phoenix Jackson","BAYLOR","31","LB","68","3","11","0","3","2"
"","146136","","371953","","Alec Marenco","WAKE","44","LB","32","4","4","0","0","3"
"","146160","","380408","","Zyrus Fiaseu","ARIZONA ST","30","LB","101","4","9","0","3","7"
"","146280","","361917","","Eric Gentry","USC","18","LB","546","10","63","4","12","22"
"","146299","","366903","","Hunter Barth","STANFORD","23","LB","310","10","29","1","14","18"
"","146306","","366914","","Kaleb Elarms-Orr","TCU","03","LB","702","10","100","3","6","24"
"","146449","","361853","","Trey Reynolds","UTAH","37","LB","164","10","19","2","5","6"
"","146608","","361343","","Deontae Lawson","ALABAMA","00","LB","461","10","65","2","13","27"
"","146613","","370628","","Colin Bryant","S CAROLINA","45","LB","1","1","0","0","0","0"
"","146701","","368263","","Scooby Williams","TEXAS A&M","00","LB","162","6","17","3","4","6"
"","146724","","361556","","Xavian Sorey Jr.","ARKANSAS","10","LB","630","10","64","4","17","18"
"","146793","","422386","","Gabe Leonards","LSU","49","LB","3","1","0","0","0","0"
"","146852","","368499","","John Lewis","W VIRGINIA","12","LB","45","4","6","1","0","2"
"","146854","","384905","","Nic Mitchell","MISS STATE","40","LB","477","11","53","3","6","24"
"","146889","","359848","","Zachary Lovett","IOWA STATE","00","LB","99","9","9","0","1","5"
"","146924","","395323","","Andrew Colasurdo","S CAROLINA","28","LB","1","1","0","0","0","0"
"","147492","","376783","","Prince Kollie","VANDERBILT","20","LB","77","5","8","0","2","6"
"","147494","","366802","","Kahanu Kia","NOTRE DAME","43","LB","16","3","3","0","0","0"
"","147861","","381834","","Jack Kelly","BYU","17","LB","472","9","50","2","13","20"
"","150178","","363003","","Jake Golday","CINCINNATI","11","LB","573","10","94","1","7","30"
"","150923","","377302","","Jeremiah Brown","COLORADO","42","LB","418","9","65","6","6","24"
"","151086","","361995","","James Jackson","VIRGINIA","01","LB","433","11","45","1","9","17"
"","151095","","362013","","Jacob Rodriguez","TEXAS TECH","10","LB","587","11","101","8","16","52"
"","151101","","362019","","West Weeks","LSU","33","LB","443","9","59","5","9","23"
"","151172","","360769","","Luke Dillingham","TEXAS TECH","39","LB","24","2","0","0","0","1"
"","154624","","373900","","William Davis","W VIRGINIA","11","LB","4","1","0","0","0","0"
"","155289","","391722","","Caden Biser","W VIRGINIA","36","LB","24","2","1","0","0","0"
"","156237","","388509","","Wade Woodaz","CLEMSON","17","LB","517","10","63","6","7","38"
"","156240","","393313","","Kobe McCloud","CLEMSON","21","LB","143","10","19","1","2","15"
