"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","ATT","YCO","RB YCO/ATT","10+ RUSH","MTF RUN"
"","184636","","429569","","Jason Patterson","KENTUCKY","26","HB","118","9","48","131","2.7","5","7"
"","184656","","456061","","Edd Guerrier","RUTGERS","23","HB","15","1","7","17","2.4","0","2"
"","184725","","445017","","Fame Ijeboi","MINNESOTA","07","HB","200","9","86","308","3.6","13","24"
"","184755","","429276","","Johnnie Daniels","MISS STATE","20","HB","26","2","9","43","4.8","2","6"
"","184832","","429409","","Dylan Lee","IOWA STATE","02","HB","58","6","21","87","4.1","2","5"
"","184833","","429416","","Easton Miller","IOWA STATE","25","HB","7","1","4","12","3.0","0","0"
"","184848","","395779","","Jay Harris","OREGON","22","HB","59","8","26","70","2.7","3","3"
"","184885","","429223","","Peyton Lewis","TENNESSEE","02","HB","164","10","71","186","2.6","4","6"
"","184897","","429869","","Cameron Dickey","TEXAS TECH","08","HB","445","11","172","602","3.5","27","40"
"","184937","","447834","","Tyler Mason","VA TECH","23","HB","17","3","4","27","6.8","1","4"
"","187638","","466538","","Tyler Wrenn","UCF","32","HB","3","1","1","3","3.0","0","0"
"","188180","","453786","","Jayden Parker","CAL","24","HB","1","1","1","0","0","0","0"
"","188188","","455878","","Jakorion Caffey","CINCINNATI","20","HB","1","1","1","2","2.0","0","0"
"","188257","","428796","","Josiah McLaurin","MARYLAND","17","HB","23","2","0","0","0","0","0"
"","188518","","449772","","Jamezell Lassiter","VANDERBILT","41","HB","36","9","8","80","10.0","3","3"
"","188671","","431556","","Khobie Martin","INDIANA","28","HB","103","10","61","222","3.6","12","11"
"","188691","","448808","","JB Price","KANSAS ST","24","HB","27","3","9","18","2.0","1","1"
"","188722","","444020","","Rodney Fields Jr.","OKLA STATE","20","HB","330","8","105","357","3.4","13","11"
"","188781","","464266","","Gabe Sawchuk","OKLAHOMA","29","HB","3","2","2","15","7.5","1","1"
"","188782","","428442","","Taylor Tatum","OKLAHOMA","08","HB","2","1","1","1","1.0","0","0"
"","188865","","428293","","Micah Ford","STANFORD","20","HB","249","8","119","452","3.8","11","28"
"","188876","","445999","","Cole Tabb","STANFORD","33","HB","203","9","105","299","2.9","12","18"
"","189380","","461010","","Cole Denson","DUKE","28","HB","4","1","0","0","0","0","0"
"","189441","","428441","","Jordan Lyle","MIAMI FL","02","HB","82","6","35","87","2.5","2","7"
"","189622","","428872","","Kayden Luke","ARIZONA","30","FB","28","8","0","0","0","0","0"
"","189679","","447453","","Brevin Doll","IOWA","23","HB","2","1","2","3","1.5","0","0"
"","189698","","449537","","Xavier Williams","IOWA","26","HB","126","8","41","128","3.1","5","5"
"","189704","","429503","","Mekhi Nelson","NEBRASKA","35","HB","50","8","11","26","2.4","2","3"
"","189712","","449866","","Joe Pitchford","TCU","24","FB","15","6","0","0","0","0","0"
"","189732","","446309","","Jordan Washington","WASHINGTON","04","HB","42","6","19","135","7.1","6","6"
"","189933","","441636","","Diore Hubbard","W VIRGINIA","20","HB","307","8","96","276","2.9","7","15"
"","190013","","428616","","Ahmad Hardy","MISSOURI","29","HB","355","10","199","932","4.7","36","71"
"","190075","","430174","","Fluff Bothwell","MISS STATE","24","HB","302","9","113","370","3.3","15","19"
"","190199","","428698","","Turbo Richard","BOSTON COL","02","HB","442","10","131","515","3.9","14","23"
"","190221","","428368","","Kewan Lacy","OLE MISS","05","HB","667","11","240","836","3.5","32","87"
"","190231","","436665","","Matt Fuller","S CAROLINA","28","HB","156","8","63","209","3.3","1","15"
"","190321","","431670","","Makhi Frazier","MICH STATE","05","HB","277","9","121","325","2.7","19","20"
"","190337","","428322","","Stacy Gage","UCF","21","HB","39","4","13","48","3.7","1","4"
